idmeter,clus_num
22813983,11
22813984,8
22813985,7
22813987,11
22813988,4
22813989,5
22813991,2
22813992,1
22813993,4
22813994,11
22813995,3
22813997,4
22814001,7
22814003,3
22814004,3
22814005,4
22814006,11
22814008,5
22814009,1
22814012,4
22814013,4
22814014,7
22814015,3
22814016,4
22814017,6
22814018,4
22814019,5
22814020,3
22814022,12
22814023,5
22814024,10
22814025,11
22814026,4
22814027,4
22814028,4
22814029,1
22814030,4
22814031,7
22814032,7
22814033,10
22814034,11
22814036,5
22814037,3
22814038,7
22814042,8
22814043,7
22814044,7
22814045,11
22814048,1
22814049,4
22814050,8
22814051,11
22814052,11
22814053,4
22814054,11
22814055,6
22814056,6
22814058,4
22814060,5
22814061,6
22814062,6
22814064,4
22814066,6
22814067,6
22814068,6
22814069,4
22814070,5
22814071,5
22814072,5
22814073,6
22814074,6
22814076,8
22814077,7
22814079,6
22814080,6
22814081,5
22814083,6
22814087,3
22814088,1
22814089,3
22814092,1
22814093,5
22814094,10
22814095,6
22814096,2
22814098,9
22814099,6
22814100,6
22814101,6
22814103,1
22814104,8
22814105,1
22814106,1
22814107,12
22814108,4
22814109,4
22814110,1
22814111,1
22814112,7
22814113,7
22814114,3
22814115,3
22814116,11
22814117,7
22814118,11
22814119,7
22814120,7
22814121,2
22814122,5
22814123,2
22814124,5
22814125,7
22814126,1
22814127,4
22814128,6
22814130,7
22814132,1
22814133,4
22814135,7
22814136,6
22814137,7
22814138,7
22814140,1
22814142,7
22814143,3
22814144,7
22814147,5
22814148,4
22814149,4
22814150,5
22814151,4
22814153,3
22814155,4
22814156,8
22814159,11
22814161,8
22814162,7
22814163,7
22814164,7
22814165,3
22814166,2
22814170,4
22814171,7
22814172,12
22814173,7
22814174,7
22814175,1
22814176,5
22814177,1
22814181,2
22814182,1
22814184,7
22814185,1
22814186,4
22814187,3
22814188,4
22814189,7
22814190,4
22814191,4
22814192,10
22814195,7
22814197,9
22814198,1
22814200,12
22814202,4
22814204,4
22814206,1
22814207,1
22814208,3
22814209,9
22814210,12
22814211,4
22814212,4
22814214,1
22814215,5
22814217,4
22814220,4
22814222,11
22814223,7
22814224,1
22814226,4
22814228,2
22814229,9
22814232,11
22814234,1
22814235,8
22814236,4
22814240,8
22814242,1
22814243,4
22814245,5
22814246,7
22814247,4
22814248,7
22814249,5
22814250,4
22814251,1
22814252,1
22814253,10
22814255,11
22814256,1
22814257,4
22814258,1
22814259,4
22814260,4
22814262,4
22814263,1
22814265,4
22814267,4
22814268,1
22814273,8
22814274,4
22814275,1
22814276,4
22814277,4
22814278,5
22814279,11
22814280,5
22814283,3
22814284,4
22814286,9
22814287,12
22814288,7
22814291,4
22814292,11
22814294,4
22814295,1
22814296,4
22814297,5
22814299,11
22814300,11
22814301,4
22814303,4
22814304,7
22814305,4
22814306,5
22814307,6
22814308,4
22814310,11
22814311,11
22814312,3
22814314,4
22814315,11
22814317,10
22814322,7
22814324,5
22814325,4
22814326,1
22814327,5
22814329,4
22814331,11
22814332,7
22814334,1
22814336,8
22814340,7
22814341,11
22814342,10
22814349,1
22814350,1
22814353,7
22814358,11
22814361,1
22814362,1
22814365,4
22814368,4
22814369,2
22814370,4
22814373,1
22814374,8
22814375,8
22814376,7
22814378,11
22814379,5
22814381,10
22814382,10
22814383,1
22814385,7
22814387,1
22814389,3
22814393,8
22814406,10
22814410,4
22814414,1
22814423,12
22814425,8
22814426,1
22814428,8
22814430,5
22814431,1
22814432,3
22814433,1
22814435,1
22814439,1
22814443,4
22814444,10
22814460,8
22814463,1
22814465,1
22814466,7
22814468,5
22814469,11
22814470,1
22814472,10
22814475,6
22814476,7
22814478,10
22814480,1
22814482,9
22814488,8
22814490,5
22814491,10
22814492,1
22814493,1
22814494,10
22814495,10
22814497,12
22814499,1
22814500,5
